x,y
223304,0
46705.5,142032
-3337.61,9792.23
39091.7,34250.6
25975.2,3303.66
63714.8,68268.1
-44584.7,55312.6
3209.18,5498.5
-48495,10347
33484.5,-68920.5
42429.3,41870.4
3339.33,-17802.7
42788.8,36725.7
-25941.7,5560.41
28157,-3513.99
-3387.35,9882.11
11710,0
-3387.35,-9882.11
28157,3513.99
-25941.7,-5560.41
42788.8,-36725.7
3339.33,17802.7
42429.3,-41870.4
33484.5,68920.5
-48495,-10347
3209.18,-5498.5
-44584.7,-55312.6
63714.8,-68268.1
25975.2,-3303.66
39091.7,-34250.6
-3337.61,-9792.23
46705.5,-142032
